"Anno","Mese","Cantone","Pernottamenti"
"2006","Ottobre","Appenzell Ausserrhoden",15118
"2006","Ottobre","Appenzell Innerrhoden",17822
"2006","Ottobre","St. Gallen",93871
"2006","Ottobre","Graubünden / Grigioni / Grischun",289997
"2006","Ottobre","Aargau",60508
"2006","Ottobre","Thurgau",34309
"2006","Ottobre","Ticino",281290
"2006","Ottobre","Vaud",192463
"2006","Ottobre","Valais / Wallis",208788
"2006","Ottobre","Neuchâtel",19774
"2006","Ottobre","Genève",223223
"2006","Ottobre","Jura",8527
"2006","Novembre","Schweiz",1652802
"2006","Novembre","Zürich",310046
"2006","Novembre","Bern / Berne",183423
"2006","Novembre","Luzern",90380
"2006","Novembre","Uri",6183
"2006","Novembre","Schwyz",34284
"2006","Novembre","Obwalden",14210
"2006","Novembre","Nidwalden",10996
"2006","Novembre","Glarus",5946
"2006","Novembre","Zug",20957
"2006","Novembre","Fribourg / Freiburg",23093
"2006","Novembre","Solothurn",27313
"2006","Novembre","Basel-Stadt",76687
"2006","Novembre","Basel-Landschaft",19923
"2006","Novembre","Schaffhausen",8516
"2006","Novembre","Appenzell Ausserrhoden",9607
"2006","Novembre","Appenzell Innerrhoden",6390
"2006","Novembre","St. Gallen",66964
"2006","Novembre","Graubünden / Grigioni / Grischun",80643
"2006","Novembre","Aargau",59376
"2006","Novembre","Thurgau",26877
"2006","Novembre","Ticino",96012
"2006","Novembre","Vaud",146202
"2006","Novembre","Valais / Wallis",106181
"2006","Novembre","Neuchâtel",15107
"2006","Novembre","Genève",201539
"2006","Novembre","Jura",5947
"2006","Dicembre","Schweiz",2294713
"2006","Dicembre","Zürich",291988
"2006","Dicembre","Bern / Berne",303651
"2006","Dicembre","Luzern",96158
"2006","Dicembre","Uri",11126
"2006","Dicembre","Schwyz",33942
"2006","Dicembre","Obwalden",35437
"2006","Dicembre","Nidwalden",9711
"2006","Dicembre","Glarus",6945
"2006","Dicembre","Zug",16778
"2006","Dicembre","Fribourg / Freiburg",19510
"2006","Dicembre","Solothurn",21299
"2006","Dicembre","Basel-Stadt",65325
"2006","Dicembre","Basel-Landschaft",13896
"2006","Dicembre","Schaffhausen",5606
"2006","Dicembre","Appenzell Ausserrhoden",9886
"2006","Dicembre","Appenzell Innerrhoden",7843
"2006","Dicembre","St. Gallen",68043
"2006","Dicembre","Graubünden / Grigioni / Grischun",470016
"2006","Dicembre","Aargau",43145
"2006","Dicembre","Thurgau",19236
"2006","Dicembre","Ticino",75542
"2006","Dicembre","Vaud",149669
"2006","Dicembre","Valais / Wallis",326647
"2006","Dicembre","Neuchâtel",12637
"2006","Dicembre","Genève",177280
"2006","Dicembre","Jura",3397
"2007","Gennaio","Schweiz",2805431
"2007","Gennaio","Zürich",277096
"2007","Gennaio","Bern / Berne",383567
"2007","Gennaio","Luzern",79425
"2007","Gennaio","Uri",16322
"2007","Gennaio","Schwyz",34619
"2007","Gennaio","Obwalden",47944
"2007","Gennaio","Nidwalden",11027
"2007","Gennaio","Glarus",11496
"2007","Gennaio","Zug",18122
"2007","Gennaio","Fribourg / Freiburg",18701
"2007","Gennaio","Solothurn",22848
"2007","Gennaio","Basel-Stadt",69811
"2007","Gennaio","Basel-Landschaft",15809
"2007","Gennaio","Schaffhausen",5498
"2007","Gennaio","Appenzell Ausserrhoden",6891
"2007","Gennaio","Appenzell Innerrhoden",6487
"2007","Gennaio","St. Gallen",81560
"2007","Gennaio","Graubünden / Grigioni / Grischun",741982
"2007","Gennaio","Aargau",49083
"2007","Gennaio","Thurgau",20896
"2007","Gennaio","Ticino",60734
"2007","Gennaio","Vaud",165053
"2007","Gennaio","Valais / Wallis",470125
"2007","Gennaio","Neuchâtel",12629
"2007","Gennaio","Genève",174598
"2007","Gennaio","Jura",3108
"2007","Febbraio","Schweiz",3199941
"2007","Febbraio","Zürich",267102
"2007","Febbraio","Bern / Berne",460400
"2007","Febbraio","Luzern",86406
"2007","Febbraio","Uri",19984
"2007","Febbraio","Schwyz",42740
"2007","Febbraio","Obwalden",59482
"2007","Febbraio","Nidwalden",13599
"2007","Febbraio","Glarus",16164
"2007","Febbraio","Zug",17604
"2007","Febbraio","Fribourg / Freiburg",20087
"2007","Febbraio","Solothurn",20491
"2007","Febbraio","Basel-Stadt",63800
"2007","Febbraio","Basel-Landschaft",14751
"2007","Febbraio","Schaffhausen",5347
"2007","Febbraio","Appenzell Ausserrhoden",7749
"2007","Febbraio","Appenzell Innerrhoden",5023
"2007","Febbraio","St. Gallen",97301
"2007","Febbraio","Graubünden / Grigioni / Grischun",849378
"2007","Febbraio","Aargau",47409
"2007","Febbraio","Thurgau",22725
"2007","Febbraio","Ticino",73204
"2007","Febbraio","Vaud",189069
"2007","Febbraio","Valais / Wallis",585596
"2007","Febbraio","Neuchâtel",13917
"2007","Febbraio","Genève",197392
